sourceCode;sourceName;sourceFrequency;matchScore;mappingStatus;targetConceptId;targetConceptName;targetVocabularyId;targetDomainId;targetStandardConcept;targetChildCount;targetParentCount;targetConceptClassId;targetConceptCode;targetValidStartDate;targetValidEndDate;targetInvalidReason
83;butcher;2;0.88;FLAGGED;4142178;Lutcher;OSM;Geography;S;0;1;8th level;131569;19700101;20991231;
5;diourbel ;3;0.67;FLAGGED;4196078;Salmonella Diourbel;SNOMED;Observation;S;0;1;Organism;44109007;20020131;20991231;
5;goat;5;1.0;APPROVED;36662455;Goat;LOINC;Meas Value;S;0;0;Answer;LA31039-3;19700101;20991231;
19;tailoring;41;0.65;FLAGGED;4026865;Fur tailor;SNOMED;Observation;S;0;1;Social Context;61228002;20020131;20991231;
2;third party;453;0.76;FLAGGED;4083438;Third party encounter;SNOMED;Procedure;S;1;1;Procedure;185318008;20020131;20991231;
6;saint louis;3;1.0;FLAGGED;42077491;Saint Louis;OSM;Geography;S;0;1;8th level;185232;19700101;20991231;
7;tambacounda;3;0.75;FLAGGED;4240696;Salmonella Tambacounda;SNOMED;Observation;S;0;1;Organism;57861008;20020131;20991231;
1;contact_with_animals;370;0.7;APPROVED;4267363;Pet ownership - finding;SNOMED;Observation;S;5;0;Clinical Finding;365482007;20170605;20991231;
8;louga;2;0.8;FLAGGED;41954933;Plougar;OSM;Geography;S;0;1;8th level;1226869;19700101;20991231;
9;diourbel;1;0.7;FLAGGED;4196078;Salmonella Diourbel;SNOMED;Observation;S;0;1;Organism;44109007;20020131;20991231;
2;sinopharm;33;0.5;FLAGGED;45880022;Lisinopril Oral Tablet [LISINOPRIL RATIOPHARM];RxNorm Extension;Drug;S;4;4;Branded Drug Form;OMOP499073;20170824;20991231;
10;ziguinchor;1;0.53;FLAGGED;41925237;Zigui County;OSM;Geography;S;0;1;6th level;2719052;19700101;20991231;
3;johnson;26;1.0;FLAGGED;45880022;Johnson;OSM;Geography;S;0;1;9th level;199098;19700101;20991231;
8;RT-PCR IHU_MI2 MARSEILLE;1;0.33;FLAGGED;3013637;Mi-2 Ab [Presence] in Serum;LOINC;Measurement;S;0;3;Lab Test;18485-3;19980825;20991231;
11;kaolack;1;0.78;FLAGGED;984801;kaolin;RxNorm;Drug;S;312;34;Ingredient;6102;19700101;20991231;
4;pfizer;4;0.6;FLAGGED;45880022;Finasteride 5 MG Oral Tablet by Pfizer;RxNorm Extension;Drug;S;0;1;Marketed Product;OMOP377410;20170824;20991231;
2;thies;5077;0.93;FLAGGED;42005142;Thiesi;OSM;Geography;S;0;1;8th level;40549;19700101;20991231;
9;GenXpert;1;0.68;FLAGGED;42032606;Dinxperlo;OSM;Geography;S;0;1;10th level;2714948;19700101;20991231;
7;beef;3;1.0;APPROVED;4037235;Beef;SNOMED;Observation;S;9;2;Substance;226916002;20020131;20991231;
3;thies ;6;0.86;FLAGGED;42005142;Thiesi;OSM;Geography;S;0;1;8th level;40549;19700101;20991231;
16;other;48;1.0;FLAGGED;45878142;Other;LOINC;Meas Value;S;0;0;Answer;LA46-8;19700101;20991231;
8;pork;3;1.0;APPROVED;4037243;Pork;SNOMED;Observation;S;9;1;Substance;226934003;20020131;20991231;
4;fatick;5;0.73;FLAGGED;42073627;Natick;OSM;Geography;S;0;1;8th level;1865757;19700101;20991231;
10;Exi PREP;1;0.48;FLAGGED;4313629;Pauxi pauxi;SNOMED;Observation;S;0;1;Organism;425385008;20070131;20991231;
47;customer service;8;0.72;FLAGGED;4148672;Social services department customer services;SNOMED;Observation;S;0;1;Qualifier Value;310135007;20020131;20991231;
98;hygiene services;1;0.88;FLAGGED;4050509;Dental hygiene service;SNOMED;Observation;S;0;1;Qualifier Value;8,28191E+14;20120401;20991231;
1;dakar;8304;0.74;FLAGGED;41925530;Dakang;OSM;Geography;S;0;1;8th level;2172874;19700101;20991231;
69;production services;3;0.76;FLAGGED;4140411;Reproductive service;SNOMED;Observation;S;0;1;Qualifier Value;3,551E+12;20150901;20991231;
27;logistics;25;0.66;FLAGGED;36685703;Ecologist;SNOMED;Observation;S;0;1;Social Context;159140009;20020131;20991231;
5;Da An Gen Co, Chine;913;0.28;FLAGGED;1617287;Tobacco, Alcohol, Prescription medications, and other Substance use screen [TAPS];LOINC;Observation;S;5;2;Survey;96841-2;20210823;20991231;
80;procurement services;2;0.7;FLAGGED;4149155;Ear, nose and throat service;SNOMED;Observation;S;3;1;Qualifier Value;310149003;20020131;20991231;
6;TaqPath COVID-19 RT-PCR;678;0.67;FLAGGED;37168088;Detection of ribonucleic acid of SARS-CoV-2 using microchip real time polymerase chain reaction;SNOMED;Measurement;S;0;1;Observable Entity;1269559008;20230430;20991231;
81;craftsman_artisan;2;0.51;FLAGGED;4024737;Draftsman;SNOMED;Observation;S;15;1;Social Context;106271003;20020131;20991231;
90;inspector;2;0.81;FLAGGED;4139262;Inspection;SNOMED;Procedure;S;18;1;Procedure;32750006;20020131;20991231;
100;cooperation officer;1;0.67;FLAGGED;4176296;Cooperative mental state;SNOMED;Observation;S;0;1;Clinical Finding;427867005;20080131;20991231;
7;LabGUN COVID 19;148;0.31;FLAGGED;705076;Post-acute COVID-19;OMOP Extension;Condition;S;0;1;Disorder;OMOP5160861;20211215;20991231;
64;institutional worker;4;0.71;FLAGGED;4204501;Metal worker;SNOMED;Observation;S;10;1;Social Context;308288000;20020131;20991231;
102;diplomat;1;0.68;FLAGGED;36854423;INDIPLON;RxNorm Extension;Drug;S;0;0;Ingredient;OMOP5172038;19700101;20991231;
96;liberal profession;1;0.61;FLAGGED;44804373;Professional practice;SNOMED;Observation;S;0;1;Qualifier Value;7,20061E+14;20101001;20991231;
78;advisor;2;0.74;FLAGGED;4009366;Management consultant;SNOMED;Observation;S;0;1;Social Context;158885002;20020131;20991231;
5;outbound traveler;21;0.67;FLAGGED;45879794;Outbound communication;SNOMED;Meas Value;S;0;1;Qualifier Value;3,971E+12;20150901;20991231;
1;astrazeneca;44;0.63;FLAGGED;45880022;Atropine 0.5 MG/ML Injection by Astrazeneca;RxNorm Extension;Drug;S;0;1;Marketed Product;OMOP555620;20170824;20991231;
6;inbound traveler;11;0.6;FLAGGED;762458;Inbound communication;SNOMED;Meas Value;S;0;1;Qualifier Value;3,961E+12;20150901;20991231;
1;Direct search for SARS-CoV-2 RNA  NEGATIVE;8181;0.58;FLAGGED;45880296;Detection of ribonucleic acid of SARS-CoV-2 using polymerase chain reaction;SNOMED;Measurement;S;1;1;Observable Entity;871560001;20200731;20991231;
11;Abbott Rt-PCR ID-NOW;1;0.45;FLAGGED;42059620;Abbott;OSM;Geography;S;0;1;8th level;3488445;19700101;20991231;
3;cape verde;1;0.71;FLAGGED;37162466;Vale Verde;OSM;Geography;S;0;1;10th level;5316676;19700101;20991231;
1;Allplex Seegene;5327;0.51;FLAGGED;41981118;Seeg;OSM;Geography;S;0;1;8th level;448306;19700101;20991231;
2;contact;2121;0.75;APPROVED;756077;Contact identifier Contact;LOINC;Observation;S;0;1;Clinical Observation;94650-9;20200403;20991231;
2;Direct search for SARS-CoV-2 RNA  POSITIVE;4850;0.59;FLAGGED;1092311;Detection of ribonucleic acid of SARS-CoV-2 using polymerase chain reaction;SNOMED;Measurement;S;1;1;Observable Entity;871560001;20200731;20991231;
2;Abbott Real Time SARS-COV-2;2698;0.73;FLAGGED;37311065;SARS-CoV-2;SNOMED;Observation;S;0;1;Organism;840533007;20200131;20991231;
3;To be retested;375;0.53;FLAGGED;44795852;To be done;SNOMED;Observation;S;0;1;Qualifier Value;385643006;20030131;20991231;
3;PFP Sansure Biotech;2382;0.37;FLAGGED;41947311;Le Biot;OSM;Geography;S;0;1;8th level;107225;19700101;20991231;
4;ABBOTT m2000_SARS-COV-2;1185;0.52;FLAGGED;37311065;SARS-CoV-2;SNOMED;Observation;S;0;1;Organism;840533007;20200131;20991231;
3;dogs;16;1.0;APPROVED;3267122;Dogs;SNOMED;Observation;S;14;1;Organism;106969009;20020131;20991231;
3;severe;90;1.0;APPROVED;605554;Acute Covid 19;LOINC;Meas Value;S;0;0;Answer;LA6750-9;19700101;20991231;
4;cat;5;1.0;APPROVED;45882565;Cat;LOINC;Meas Value;S;0;0;Answer;LA14179-8;19700101;20991231;
3;merchant;264;0.71;APPROVED;4010439;Shopkeeper;SNOMED;Observation;S;1;1;Social Context;159416007;20020131;20991231;
13;mechanic;55;0.96;APPROVED;4119472;Electrical mechanic;SNOMED;Observation;S;0;1;Social Context;302319009;20020131;20991231;
1;patient;12953;1.0;APPROVED;45880001;Patient;LOINC;Meas Value;S;0;0;Answer;LA4634-7;19700101;20991231;
29;hairdresser;19;1.0;APPROVED;4204483;Hairdresser;SNOMED;Observation;S;4;1;Social Context;308223007;20020131;20991231;
1;student;449;1.0;APPROVED;4277918;Student;SNOMED;Observation;S;4;0;Social Context;65853000;20020131;20991231;
43;livestock farming;11;0.88;APPROVED;4180249;Livestock farmer;SNOMED;Observation;S;0;1;Social Context;52060003;20020131;20991231;
84;official;2;0.64;APPROVED;4059375;Government executive official;SNOMED;Observation;S;0;2;Social Context;16849006;20020131;20991231;
6;horse;4;1.0;APPROVED;36662346;Horse;LOINC;Meas Value;S;0;0;Answer;LA31042-7;19700101;20991231;
4;retired;162;1.0;APPROVED;37016772;Retired worker;SNOMED;Observation;S;0;0;Social Context;712889009;20160131;20991231;
